year,week,player,player_position,match_player,nfl_name,nfl_team,nfl_position,gsis_id,yahoo_id,match_method
2025,9,Jaylen Warren,RB,jaylen warren,Jaylen Warren,PIT,RB,00-0037228,34447,exact_week_normalized
2025,9,Jerry Jeudy,,jerry jeudy,Jerry Jeudy,CLE,WR,00-0036407,32685,inferred_between_same_team
2025,9,Joe Burrow,,joe burrow,Joe Burrow,CIN,QB,00-0036442,32671,exact_week_normalized
2025,9,Jonathan Taylor,RB,jonathan taylor,Jonathan Taylor,IND,RB,00-0036223,32711,exact_week_normalized
2025,9,Jonnu Smith,TE,jonnu smith,Jonnu Smith,PIT,TE,00-0033858,30213,exact_week_normalized
2025,9,Jordan Addison,,jordan addison,Jordan Addison,MIN,WR,00-0038994,40042,exact_week_normalized
2025,9,Jordan Love,QB,jordan love,Jordan Love,GB,QB,00-0036264,32696,exact_week_normalized
2025,9,Jordan Mason,,jordan mason,Jordan Mason,MIN,RB,00-0037525,34320,exact_week_normalized
2025,9,Josh Allen,QB,josh allen,Josh Allen,BUF,QB,00-0034857,30977,exact_week_normalized
2025,9,Josh Downs,,josh downs,Josh Downs,IND,WR,00-0038997,40126,exact_week_normalized
2025,9,Josh Jacobs,RB,josh jacobs,Josh Jacobs,GB,RB,00-0035700,31856,exact_week_normalized
2025,9,Joshua Karty,K,joshua karty,Joshua Karty,LA,K,00-0039750,41081,exact_week_normalized
2025,9,Justin Herbert,QB,justin herbert,Justin Herbert,LAC,QB,00-0036355,32676,exact_week_normalized
2025,9,Justin Jefferson,WR,justin jefferson,Justin Jefferson,MIN,WR,00-0036322,32692,exact_week_normalized
2025,9,Juwan Johnson,TE,juwan johnson,Juwan Johnson,NO,TE,00-0036040,33113,exact_week_normalized
2025,9,Ka'imi Fairbairn,K,ka imi fairbairn,Ka'imi Fairbairn,HOU,K,00-0032726,29792,exact_week_normalized
2025,9,Kareem Hunt,RB,kareem hunt,Kareem Hunt,KC,RB,00-0033923,30199,exact_week_normalized
2025,9,Kayshon Boutte,WR,kayshon boutte,Kayshon Boutte,NE,WR,00-0038608,40224,exact_week_normalized
2025,9,Keenan Allen,,keenan allen,Keenan Allen,LAC,WR,00-0030279,26699,exact_week_normalized
2025,9,Kenneth Walker III,,kenneth walker,Kenneth Walker III,SEA,RB,00-0038134,33996,exact_week_normalized
2025,9,Kenny Gainwell,,kenneth gainwell,Kenneth Gainwell,PIT,RB,00-0036919,33538,exact_week_normalized
2025,9,Keon Coleman,,keon coleman,Keon Coleman,BUF,WR,00-0039901,40911,exact_week_normalized
2025,9,Khalil Shakir,WR,khalil shakir,Khalil Shakir,BUF,WR,00-0037261,34104,exact_week_normalized
2025,9,Kimani Vidal,RB,kimani vidal,Kimani Vidal,LAC,RB,00-0039391,41052,exact_week_normalized
2025,9,Kyle Monangai,RB,kyle monangai,Kyle Monangai,CHI,RB,00-0040236,,exact_week_normalized
2025,9,Kyle Pitts Sr.,TE,kyle pitts,Kyle Pitts,ATL,TE,00-0036970,33392,exact_week_normalized
2025,9,Kyler Murray,,kyler murray,Kyler Murray,ARI,QB,00-0035228,31833,exact_week_normalized
2025,9,Kyren Williams,,kyren williams,Kyren Williams,LA,RB,00-0037840,34120,exact_week_normalized
2025,9,Ladd McConkey,WR,ladd mcconkey,Ladd McConkey,LAC,WR,00-0039915,40908,exact_week_normalized
2025,9,Lamar Jackson,,lamar jackson,Lamar Jackson,BAL,QB,00-0034796,31002,exact_week_normalized
2025,9,Mark Andrews,,mark andrews,Mark Andrews,BAL,TE,00-0034753,31056,exact_week_normalized
2025,9,Marvin Harrison Jr.,WR,marvin harrison,Marvin Harrison Jr.,ARI,WR,00-0039849,40893,exact_week_normalized
2025,9,Marvin Mims Jr.,,marvin mims,Marvin Mims Jr.,DEN,WR,00-0038976,40090,exact_week_normalized
2025,9,Mason Taylor,,mason taylor,Mason Taylor,NYJ,TE,00-0040736,,inferred_between_same_team
2025,9,Matthew Stafford,QB,matthew stafford,Matthew Stafford,LA,QB,00-0026498,9265,exact_week_normalized
2025,9,Michael Badgley,K,michael badgley,,,,,,unmatched
2025,9,Michael Pittman Jr.,WR,michael pittman,Michael Pittman,IND,WR,00-0036252,32704,exact_week_normalized
2025,9,Mike Evans,,mike evans,Mike Evans,TB,WR,00-0031408,27535,inferred_between_same_team
2025,9,Nick Chubb,,nick chubb,Nick Chubb,HOU,RB,00-0034791,31005,exact_week_normalized
2025,9,Nico Collins,WR,nico collins,Nico Collins,HOU,WR,00-0036554,33477,exact_week_normalized
2025,9,Omarion Hampton,,omarion hampton,Omarion Hampton,LAC,RB,00-0040666,,exact_week_normalized
2025,9,Oronde Gadsden,,oronde gadsden,Oronde Gadsden II,LAC,TE,00-0040189,,exact_week_normalized
2025,9,Patrick Mahomes,QB,patrick mahomes,Patrick Mahomes,KC,QB,00-0033873,30123,exact_week_normalized
2025,9,Puka Nacua,WR,puka nacua,Puka Nacua,LA,WR,00-0039075,40168,exact_week_normalized
2025,9,Quentin Johnston,,quentin johnston,Quentin Johnston,LAC,WR,00-0038544,40051,exact_week_normalized
2025,9,Quinshon Judkins,,quinshon judkins,Quinshon Judkins,CLE,RB,00-0040784,,inferred_between_same_team
2025,9,RJ Harvey,,rj harvey,RJ Harvey,DEN,RB,00-0040730,,exact_week_normalized
